vacancy_index,step,intended_species,x_A,y_A,z_A,anchor_mode,anchor_index
1,2,C,26.324877544413397,16.83000000046,10.0,template_site:index=225:site=C:neigh=2:ahead0=1.230:mode=shell,225
2,3,C,26.324877544413397,12.569999999,10.0,template_site:index=228:site=C:neigh=1:ahead0=1.230:mode=shell,228
3,8,C,26.324877544413397,2.62999999931,10.0,template_site:index=223:site=C:neigh=2:ahead0=1.230:mode=shell,223
4,12,C,27.55463361799643,4.760000000040001,10.0,template_site:index=235:site=C:neigh=1:ahead0=2.460:mode=shell,235
5,27,C,28.784389691579467,6.890000000770001,10.0,template_site:index=243:site=C:neigh=1:ahead0=3.689:mode=shell,243
6,44,C,31.24390183874554,16.83000000046,10.0,template_site:index=267:site=C:neigh=1:ahead0=6.149:mode=shell,267
7,61,C,32.47365791232857,4.760000000040001,10.0,template_site:index=277:site=C:neigh=1:ahead0=7.379:mode=shell,277
8,99,C,37.39268220666071,4.760000000040001,10.0,template_site:index=319:site=C:neigh=2:ahead0=12.298:mode=shell,319
9,116,C,39.852194353826775,13.28000000073,10.0,template_site:index=344:site=C:neigh=1:ahead0=14.757:mode=shell,344
10,117,C,39.852194353826775,14.69999999973,10.0,template_site:index=345:site=C:neigh=1:ahead0=14.757:mode=shell,345
11,119,C,39.852194353826775,17.539999999960003,10.0,template_site:index=343:site=C:neigh=2:ahead0=14.757:mode=shell,343
12,123,C,41.08195042740981,19.67000000069,10.0,template_site:index=355:site=C:neigh=2:ahead0=15.987:mode=shell,355
13,126,C,41.08195042740981,6.890000000770001,10.0,template_site:index=348:site=C:neigh=1:ahead0=15.987:mode=shell,348
14,145,C,43.541462574575874,4.05000000054,10.0,template_site:index=371:site=C:neigh=1:ahead0=18.446:mode=shell,371
15,156,C,44.77121864815891,0.5000000008100001,10.0,template_site:index=381:site=C:neigh=2:ahead0=19.676:mode=shell,381
16,169,C,46.00097472174194,15.409999999230001,10.0,template_site:index=394:site=C:neigh=1:ahead0=20.906:mode=shell,394
17,181,C,47.23073079532497,21.79999999919,10.0,template_site:index=409:site=C:neigh=1:ahead0=22.136:mode=shell,409
18,209,C,50.91999901607407,15.409999999230001,10.0,template_site:index=436:site=C:neigh=1:ahead0=25.825:mode=shell,436
19,214,C,50.91999901607407,21.08999999969,10.0,template_site:index=440:site=C:neigh=1:ahead0=25.825:mode=shell,440
20,216,C,52.149755089657106,17.539999999960003,10.0,template_site:index=448:site=C:neigh=2:ahead0=27.055:mode=shell,448
21,234,C,53.37951116324014,11.15,10.0,template_site:index=458:site=C:neigh=1:ahead0=28.284:mode=shell,458
22,253,C,55.839023310406205,8.30999999977,10.0,template_site:index=473:site=C:neigh=2:ahead0=30.744:mode=shell,473
23,257,C,57.06877938398924,4.760000000040001,10.0,template_site:index=487:site=C:neigh=2:ahead0=31.974:mode=shell,487
24,270,C,58.29853545757227,8.30999999977,10.0,template_site:index=494:site=C:neigh=1:ahead0=33.203:mode=shell,494
25,274,C,58.29853545757227,12.569999999,10.0,template_site:index=501:site=C:neigh=1:ahead0=33.203:mode=shell,501
26,297,C,60.75804760473834,16.83000000046,10.0,template_site:index=519:site=C:neigh=2:ahead0=35.663:mode=shell,519
27,307,C,61.98780367832137,17.539999999960003,10.0,template_site:index=532:site=C:neigh=1:ahead0=36.893:mode=shell,532
28,314,C,63.2175597519044,4.05000000054,10.0,template_site:index=539:site=C:neigh=1:ahead0=38.122:mode=shell,539
29,321,C,64.44731582548744,9.01999999927,10.0,template_site:index=547:site=C:neigh=2:ahead0=39.352:mode=shell,547
30,322,C,64.44731582548744,21.79999999919,10.0,template_site:index=556:site=C:neigh=1:ahead0=39.352:mode=shell,556
31,332,C,65.67707189907047,15.409999999230001,10.0,template_site:index=562:site=C:neigh=1:ahead0=40.582:mode=shell,562
32,339,C,65.67707189907047,8.30999999977,10.0,template_site:index=557:site=C:neigh=1:ahead0=40.582:mode=shell,557
33,356,C,68.13658404623654,4.05000000054,10.0,template_site:index=581:site=C:neigh=1:ahead0=43.041:mode=shell,581
34,371,C,70.5960961934026,2.62999999931,10.0,template_site:index=601:site=C:neigh=2:ahead0=45.501:mode=shell,601
35,377,C,70.5960961934026,16.83000000046,10.0,template_site:index=603:site=C:neigh=2:ahead0=45.501:mode=shell,603
36,380,C,71.82585226698563,14.69999999973,10.0,template_site:index=618:site=C:neigh=1:ahead0=46.731:mode=shell,618
37,405,C,74.2853644141517,6.17999999904,10.0,template_site:index=635:site=C:neigh=1:ahead0=49.190:mode=shell,635
38,407,C,74.2853644141517,17.539999999960003,10.0,template_site:index=637:site=C:neigh=2:ahead0=49.190:mode=shell,637
39,421,C,76.74487656131777,17.539999999960003,10.0,template_site:index=658:site=C:neigh=1:ahead0=51.650:mode=shell,658
40,424,C,76.74487656131777,1.9199999998100001,10.0,template_site:index=653:site=C:neigh=1:ahead0=51.650:mode=shell,653
41,479,C,82.89365692923293,12.569999999,10.0,template_site:index=711:site=C:neigh=1:ahead0=57.799:mode=shell,711
42,483,C,84.12341300281597,10.440000000500001,10.0,template_site:index=714:site=C:neigh=1:ahead0=59.028:mode=shell,714
43,496,C,85.353169076399,19.67000000069,10.0,template_site:index=733:site=C:neigh=2:ahead0=60.258:mode=shell,733
